"Nome completo";"Entidade";
"CELULAR";"Central de Serviços";
"D4Sing";"Central de Serviços";
"D4Sing > Relatório";"Central de Serviços";
"D4Sing > Treinamento de Utilização";"Central de Serviços";
"Desligamento";"Central de Serviços";
"Desligamento > Bloqueio de Acessos";"Central de Serviços";
"E-mail";"Central de Serviços";
"E-mail > Assinatura do e-mail";"Central de Serviços";
"E-mail > Configuração de E-mail";"Central de Serviços";
"E-mail > Configurar E-mail no celular ou computador";"Central de Serviços";
"E-mail > Dúvida";"Central de Serviços";
"E-mail > E-mail com erro";"Central de Serviços";
"E-mail > E-mail Não abre";"Central de Serviços";
"E-mail > Resetar senha do E-mail";"Central de Serviços";
"E-mail > Solicitar E-mail";"Central de Serviços";
"Equipamento";"Central de Serviços";
"Equipamento > Celular";"Central de Serviços";
"Equipamento > Configurar notebook para usuário";"Central de Serviços";
"Equipamento > Mouse";"Central de Serviços";
"Equipamento > Notebook";"Central de Serviços";
"Equipamento > Notebook Não Liga";"Central de Serviços";
"Equipamento > Resetar senha do Computador";"Central de Serviços";
"Equipamento > Suporte técnico de equipamento";"Central de Serviços";
"Equipamento > Troca de Notebook";"Central de Serviços";
"Extranet";"Central de Serviços";
"Extranet > ContraCheque";"Central de Serviços";
"FATA GERADOR";"Central de Serviços";
"Geral";"Central de Serviços";
"Geral > Ajuste de Layout";"Central de Serviços";
"Geral > Atualização cadastral";"Central de Serviços";
"Geral > Dúvida";"Central de Serviços";
"Geral > Novo Colaborador";"Central de Serviços";
"Google DRIVE";"Central de Serviços";
"Google DRIVE > Liberação de Acesso";"Central de Serviços";
"GRUPO FST";"Central de Serviços";
"GRUPO FST > Cerca Elétrica";"Central de Serviços";
"GRUPO FST > CFTV";"Central de Serviços";
"GRUPO FST > Controle de Acesso";"Central de Serviços";
"GRUPO FST > Telefonia";"Central de Serviços";
"Impressora";"Central de Serviços";
"Impressora > Configurar acesso da impressora a usuário";"Central de Serviços";
"Impressora > Criar layout de Crachá";"Central de Serviços";
"Impressora > Documento preso na fila de impressão";"Central de Serviços";
"Impressora > Dúvidas de Uso";"Central de Serviços";
"Impressora > Impressora não aparece no computador";"Central de Serviços";
"Impressora > Impressora não copia";"Central de Serviços";
"Impressora > Impressora não faz Scan";"Central de Serviços";
"Impressora > Não lembro meu código na impressora";"Central de Serviços";
"Impressora > Outro problema com a impressora";"Central de Serviços";
"Impressora > Papel preso na impressora";"Central de Serviços";
"Impressora > Treinamento de Utilização";"Central de Serviços";
"Impressora > Troca de Fita IMpressora Crachá";"Central de Serviços";
"Instalação Windows";"Central de Serviços";
"Internet";"Central de Serviços";
